2023-12-09 18:55:58,283 |OFBiz-JobQueue-1     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2023-12-09 18:55:58,290 |OFBiz-JobQueue-1     |EntitySyncServices            |I| In cleanSyncRemoveInfo removed [0] values with TX timestamp before [2023-12-08 18:55:58.287]
2023-12-09 18:55:58,290 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [8] milliseconds
2023-12-09 18:55:58,295 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [17332] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,297 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-09 18:55:58,297 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [2] milliseconds
2023-12-09 18:55:58,302 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [17330] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,310 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [8] milliseconds
2023-12-09 18:55:58,315 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [17329] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,317 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [2] milliseconds
2023-12-09 18:55:58,321 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [17328] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,324 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [2] milliseconds
2023-12-09 18:55:58,329 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [17327] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,330 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [68] milliseconds
2023-12-09 18:55:58,331 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [2] milliseconds
2023-12-09 18:55:58,334 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [17326] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,336 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [2] milliseconds
2023-12-09 18:55:58,336 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [17325] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,339 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [3] milliseconds
2023-12-09 18:55:58,340 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Clear EntitySyncRemove Info] Id [17323] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,340 |OFBiz-JobQueue-0     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2023-12-09 18:55:58,342 |OFBiz-JobQueue-0     |EntitySyncServices            |I| In cleanSyncRemoveInfo removed [0] values with TX timestamp before [2023-12-08 18:55:58.341]
2023-12-09 18:55:58,342 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [2] milliseconds
2023-12-09 18:55:58,343 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [17324] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,346 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [3] milliseconds
2023-12-09 18:55:58,347 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [17309] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,349 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [2] milliseconds
2023-12-09 18:55:58,352 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [17314] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,353 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [17319] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,360 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-09 18:55:58,361 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [8] milliseconds
2023-12-09 18:55:58,365 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [17318] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,367 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [2] milliseconds
2023-12-09 18:55:58,372 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [17317] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,374 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [21] milliseconds
2023-12-09 18:55:58,374 |OFBiz-JobQueue-0     |InventoryServices             |I| OOS Inventory Items: 0
2023-12-09 18:55:58,374 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [2] milliseconds
2023-12-09 18:55:58,378 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [17315] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,378 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [17316] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,380 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-09 18:55:58,380 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [2] milliseconds
2023-12-09 18:55:58,382 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [4] milliseconds
2023-12-09 18:55:58,385 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [17307] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,387 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [17310] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,387 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [2] milliseconds
2023-12-09 18:55:58,392 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [17311] -- Next runtime: Sun Dec 10 00:00:00 IST 2023
2023-12-09 18:55:58,398 |OFBiz-JobQueue-1     |InventoryServices             |I| OOS Inventory Items: 0
2023-12-09 18:55:58,399 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [12] milliseconds
2023-12-09 18:55:58,405 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [18148] -- Next runtime: Sat Dec 09 19:10:58 IST 2023
2023-12-09 18:55:58,406 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [14] milliseconds
2023-12-09 18:55:58,412 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [18149] -- Next runtime: Sat Dec 09 19:10:58 IST 2023
2023-12-09 18:55:59,400 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [995] milliseconds
2023-12-09 18:55:59,410 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [18150] -- Next runtime: Sat Dec 09 19:10:59 IST 2023
2023-12-09 18:55:59,416 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [5] milliseconds
2023-12-09 18:55:59,421 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [18151] -- Next runtime: Sat Dec 09 19:55:59 IST 2023
2023-12-09 18:55:59,443 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-09 18:56:00,109 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1696] milliseconds
2023-12-09 18:56:00,153 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [18152] -- Next runtime: Sat Dec 09 19:56:00 IST 2023
2023-12-09 18:56:00,153 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-09 18:56:00,196 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [753] milliseconds
2023-12-09 18:56:00,197 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-09 18:56:00,197 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [775] milliseconds
2023-12-09 18:56:00,249 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [95] milliseconds
2023-12-09 18:56:00,250 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-09 18:56:00,250 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [97] milliseconds
2023-12-09 18:56:00,811 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [1389] milliseconds
2023-12-09 18:56:00,815 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [18153] -- Next runtime: Sat Dec 09 19:56:00 IST 2023
2023-12-09 18:56:00,816 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-09 18:56:00,817 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [1] milliseconds
2023-12-09 18:56:00,817 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-09 18:56:00,817 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [2] milliseconds
2023-12-09 18:56:00,825 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [10] milliseconds
2023-12-09 18:56:01,379 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [1225] milliseconds
2023-12-09 18:56:28,225 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15757
2023-12-09 18:56:28,225 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15680
2023-12-09 18:56:28,226 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15683
2023-12-09 18:56:28,226 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15676
2023-12-09 18:56:28,228 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15685
2023-12-09 18:56:28,228 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15684
2023-12-09 18:56:28,229 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15687
2023-12-09 18:56:28,229 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15686
2023-12-09 18:56:28,231 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15688
2023-12-09 18:56:28,231 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15689
2023-12-09 18:56:28,232 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15656
2023-12-09 18:56:28,232 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15659
2023-12-09 18:56:28,234 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15661
2023-12-09 18:56:28,234 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15660
2023-12-09 18:56:28,235 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15670
2023-12-09 18:56:28,235 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15667
2023-12-09 18:56:28,236 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15654
2023-12-09 18:56:28,236 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15673
2023-12-09 18:56:28,238 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15681
2023-12-09 18:56:28,238 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15657
2023-12-09 18:56:28,239 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15658
