2023-12-07 15:37:37,016 |jsse-nio-8443-exec-2 |ServiceDispatcher             |T| Sync service [webtools/executeFind] finished in [4] milliseconds
2023-12-07 15:37:37,018 |jsse-nio-8443-exec-2 |ServiceDispatcher             |T| Sync service [webtools/performFind] finished in [10] milliseconds
2023-12-07 15:37:37,313 |jsse-nio-8443-exec-2 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2023-12-07 15:37:37,314 |jsse-nio-8443-exec-2 |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-07 15:37:37,317 |jsse-nio-8443-exec-2 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [1] milliseconds
2023-12-07 15:37:37,317 |jsse-nio-8443-exec-2 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [5] milliseconds
2023-12-07 15:37:37,378 |jsse-nio-8443-exec-2 |ControlServlet                |T| [[[webtools::entity (Domain:https://localhost)] Request Done- total:0.555,since last([webtools::entity...):0.555]]
2023-12-07 15:37:45,953 |jsse-nio-8443-exec-3 |ControlServlet                |T| [[[webtools::entity (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-07 15:37:45,962 |jsse-nio-8443-exec-3 |RequestHandler                |I| Rendering View [FindGeneric].  Hidden sessionId by default.
2023-12-07 15:37:45,964 |jsse-nio-8443-exec-3 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2023-12-07 15:37:45,990 |jsse-nio-8443-exec-3 |ScreenFactory                 |I| Got 21 screens in 0.021s from: file:/D:/ofbiz/ofbiz-framework/framework/webtools/widget/EntityScreens.xml
2023-12-07 15:37:46,296 |jsse-nio-8443-exec-3 |ServiceDispatcher             |T| Sync service [webtools/prepareFind] finished in [2] milliseconds
2023-12-07 15:37:46,300 |jsse-nio-8443-exec-3 |ServiceDispatcher             |T| Sync service [webtools/executeFind] finished in [4] milliseconds
2023-12-07 15:37:46,301 |jsse-nio-8443-exec-3 |ServiceDispatcher             |T| Sync service [webtools/performFind] finished in [9] milliseconds
2023-12-07 15:37:46,318 |jsse-nio-8443-exec-3 |ScreenFactory                 |I| Got 11 screens in 0.011s from: file:/D:/ofbiz/ofbiz-framework/framework/webtools/widget/CommonScreens.xml
2023-12-07 15:37:46,330 |jsse-nio-8443-exec-3 |ScreenFactory                 |I| Got 29 screens in 0.011s from: file:/D:/ofbiz/ofbiz-framework/framework/common/widget/CommonScreens.xml
2023-12-07 15:37:46,423 |jsse-nio-8443-exec-3 |ScreenFactory                 |I| Got 28 screens in 0.015s from: file:/D:/ofbiz/ofbiz-framework/themes/common-theme/widget/CommonScreens.xml
2023-12-07 15:37:46,485 |jsse-nio-8443-exec-3 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2023-12-07 15:37:46,509 |jsse-nio-8443-exec-3 |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-07 15:37:46,732 |jsse-nio-8443-exec-3 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [221] milliseconds
2023-12-07 15:37:46,733 |jsse-nio-8443-exec-3 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [247] milliseconds
2023-12-07 15:37:46,758 |jsse-nio-8443-exec-3 |ControlServlet                |T| [[[webtools::entity (Domain:https://localhost)] Request Done- total:0.805,since last([webtools::entity...):0.805]]
2023-12-07 15:37:48,455 |jsse-nio-8443-exec-1 |ControlServlet                |T| [[[webtools::entity (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-07 15:37:48,497 |jsse-nio-8443-exec-1 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-07 15:37:48,498 |jsse-nio-8443-exec-1 |ConfigXMLReader               |I| controller loaded: 0.013s, 52 requests, 21 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-07 15:37:48,510 |jsse-nio-8443-exec-1 |ConfigXMLReader               |I| controller loaded: 0.0s, 26 requests, 10 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/portal-controller.xml
2023-12-07 15:37:48,524 |jsse-nio-8443-exec-1 |ConfigXMLReader               |I| controller loaded: 0.001s, 30 requests, 13 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/security-controller.xml
2023-12-07 15:37:48,536 |jsse-nio-8443-exec-1 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2023-12-07 15:37:48,539 |jsse-nio-8443-exec-1 |ConfigXMLReader               |I| controller loaded: 0.069s, 122 requests, 79 views in file:/D:/ofbiz/ofbiz-framework/framework/webtools/webapp/webtools/WEB-INF/controller.xml
2023-12-07 15:37:48,544 |jsse-nio-8443-exec-1 |RequestHandler                |I| Rendering View [FindGeneric].  Hidden sessionId by default.
2023-12-07 15:37:48,546 |jsse-nio-8443-exec-1 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2023-12-07 15:37:48,613 |jsse-nio-8443-exec-1 |ServiceDispatcher             |T| Sync service [webtools/prepareFind] finished in [2] milliseconds
2023-12-07 15:37:48,617 |jsse-nio-8443-exec-1 |ServiceDispatcher             |T| Sync service [webtools/executeFind] finished in [3] milliseconds
2023-12-07 15:37:48,617 |jsse-nio-8443-exec-1 |ServiceDispatcher             |T| Sync service [webtools/performFind] finished in [7] milliseconds
2023-12-07 15:37:48,860 |jsse-nio-8443-exec-1 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2023-12-07 15:37:48,862 |jsse-nio-8443-exec-1 |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-07 15:37:48,864 |jsse-nio-8443-exec-1 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [1] milliseconds
2023-12-07 15:37:48,866 |jsse-nio-8443-exec-1 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [7] milliseconds
2023-12-07 15:37:48,921 |jsse-nio-8443-exec-1 |ControlServlet                |T| [[[webtools::entity (Domain:https://localhost)] Request Done- total:0.466,since last([webtools::entity...):0.466]]
2023-12-07 15:38:05,508 |jsse-nio-8443-exec-7 |ControlServlet                |T| [[[webtools::entity (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-07 15:38:05,569 |jsse-nio-8443-exec-7 |ConfigXMLReader               |I| controller loaded: 0.001s, 0 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-07 15:38:05,571 |jsse-nio-8443-exec-7 |ConfigXMLReader               |I| controller loaded: 0.017s, 52 requests, 21 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-07 15:38:05,587 |jsse-nio-8443-exec-7 |ConfigXMLReader               |I| controller loaded: 0.001s, 26 requests, 10 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/portal-controller.xml
2023-12-07 15:38:05,604 |jsse-nio-8443-exec-7 |ConfigXMLReader               |I| controller loaded: 0.001s, 30 requests, 13 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/security-controller.xml
2023-12-07 15:38:05,620 |jsse-nio-8443-exec-7 |ConfigXMLReader               |I| controller loaded: 0.001s, 5 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2023-12-07 15:38:05,624 |jsse-nio-8443-exec-7 |ConfigXMLReader               |I| controller loaded: 0.092s, 122 requests, 79 views in file:/D:/ofbiz/ofbiz-framework/framework/webtools/webapp/webtools/WEB-INF/controller.xml
2023-12-07 15:38:05,631 |jsse-nio-8443-exec-7 |RequestHandler                |I| Rendering View [FindGeneric].  Hidden sessionId by default.
2023-12-07 15:38:05,634 |jsse-nio-8443-exec-7 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2023-12-07 15:38:05,658 |jsse-nio-8443-exec-7 |ScreenFactory                 |I| Got 21 screens in 0.019s from: file:/D:/ofbiz/ofbiz-framework/framework/webtools/widget/EntityScreens.xml
2023-12-07 15:38:05,788 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15704
2023-12-07 15:38:05,968 |jsse-nio-8443-exec-7 |ServiceDispatcher             |T| Sync service [webtools/prepareFind] finished in [3] milliseconds
2023-12-07 15:38:05,971 |jsse-nio-8443-exec-7 |ServiceDispatcher             |T| Sync service [webtools/executeFind] finished in [3] milliseconds
2023-12-07 15:38:05,972 |jsse-nio-8443-exec-7 |ServiceDispatcher             |T| Sync service [webtools/performFind] finished in [7] milliseconds
2023-12-07 15:38:05,987 |jsse-nio-8443-exec-7 |ScreenFactory                 |I| Got 11 screens in 0.011s from: file:/D:/ofbiz/ofbiz-framework/framework/webtools/widget/CommonScreens.xml
2023-12-07 15:38:05,999 |jsse-nio-8443-exec-7 |ScreenFactory                 |I| Got 29 screens in 0.01s from: file:/D:/ofbiz/ofbiz-framework/framework/common/widget/CommonScreens.xml
2023-12-07 15:38:06,131 |jsse-nio-8443-exec-7 |ScreenFactory                 |I| Got 28 screens in 0.016s from: file:/D:/ofbiz/ofbiz-framework/themes/common-theme/widget/CommonScreens.xml
2023-12-07 15:38:06,223 |jsse-nio-8443-exec-7 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2023-12-07 15:38:06,261 |jsse-nio-8443-exec-7 |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-07 15:38:06,539 |jsse-nio-8443-exec-7 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [277] milliseconds
2023-12-07 15:38:06,539 |jsse-nio-8443-exec-7 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [316] milliseconds
2023-12-07 15:38:06,574 |jsse-nio-8443-exec-7 |ControlServlet                |T| [[[webtools::entity (Domain:https://localhost)] Request Done- total:1.066,since last([webtools::entity...):1.066]]
