2023-11-24 14:31:42,121 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-11-24 14:31:42,121 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/main$
2023-11-24 14:31:42,122 |main                 |SeoConfigUtil                 |I|     seo replacement: /
2023-11-24 14:31:42,122 |main                 |SeoConfigUtil                 |I|     forward replacement: /
2023-11-24 14:31:42,122 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-11-24 14:31:42,122 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/ecomseo/control/(.*)$
2023-11-24 14:31:42,122 |main                 |SeoConfigUtil                 |I|     seo replacement: /ecomseo/$1
2023-11-24 14:31:42,122 |main                 |SeoConfigUtil                 |I|     forward replacement: /ecomseo/$1
2023-11-24 14:31:42,122 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-11-24 14:31:42,122 |main                 |SeoConfigUtil                 |I| Parsing char-filter: 
2023-11-24 14:31:42,123 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00fc
2023-11-24 14:31:42,123 |main                 |SeoConfigUtil                 |I|   replacement: ue
2023-11-24 14:31:42,123 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00e4
2023-11-24 14:31:42,123 |main                 |SeoConfigUtil                 |I|   replacement: ae
2023-11-24 14:31:42,123 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00f6
2023-11-24 14:31:42,123 |main                 |SeoConfigUtil                 |I|   replacement: oe
2023-11-24 14:31:42,123 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00df
2023-11-24 14:31:42,123 |main                 |SeoConfigUtil                 |I|   replacement: ss
2023-11-24 14:31:42,123 |main                 |SeoConfigUtil                 |I|   character-pattern: \\+
2023-11-24 14:31:42,124 |main                 |SeoConfigUtil                 |I|   replacement: und
2023-11-24 14:31:42,124 |main                 |SeoConfigUtil                 |I|   character-pattern: \u0026
2023-11-24 14:31:42,124 |main                 |SeoConfigUtil                 |I|   replacement: und
2023-11-24 14:31:42,124 |main                 |SeoConfigUtil                 |I|   character-pattern: è
2023-11-24 14:31:42,124 |main                 |SeoConfigUtil                 |I|   replacement: e
2023-11-24 14:31:42,124 |main                 |SeoConfigUtil                 |I|   character-pattern: [^A-Za-z0-9+-]
2023-11-24 14:31:42,124 |main                 |SeoConfigUtil                 |I|   replacement: -
2023-11-24 14:31:42,124 |main                 |SeoConfigUtil                 |I|   character-pattern: -{2,}
2023-11-24 14:31:42,124 |main                 |SeoConfigUtil                 |I|   replacement: -
2023-11-24 14:31:42,141 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-9943
2023-11-24 14:31:42,158 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-9943-B4
2023-11-24 14:31:42,208 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-9943
2023-11-24 14:31:42,222 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-9943-S3
2023-11-24 14:31:42,264 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-9943
2023-11-24 14:31:42,277 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-9943-S4
2023-11-24 14:31:42,301 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-5569
2023-11-24 14:31:42,335 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-9943
2023-11-24 14:31:42,373 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-1111
2023-11-24 14:31:42,399 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-5569
2023-11-24 14:31:42,448 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 14:31:42,449 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-2644
2023-11-24 14:31:42,458 |main                 |EntitySaxReader               |I| Finished 10 values from Internal Content
2023-11-24 14:31:42,458 |main                 |EntitySaxReader               |I| Finished 10 values from file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoContent.xml
