2023-12-27 17:12:38,300 |jsse-nio-8443-exec-1 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-27 17:12:38,301 |jsse-nio-8443-exec-1 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-27 17:12:38,303 |jsse-nio-8443-exec-1 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-27 17:12:38,322 |jsse-nio-8443-exec-1 |ControlServlet                |T| [[[onlineexam::viewQuestions (Domain:https://localhost)] Request Done- total:0.057,since last([onlineexam::view...):0.057]]
2023-12-27 17:12:59,910 |sse-nio-8443-exec-10 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-27 17:12:59,918 |jsse-nio-8443-exec-8 |ControlServlet                |T| [[[onlineexam::viewQuestions (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-27 17:12:59,942 |jsse-nio-8443-exec-8 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-27 17:12:59,943 |jsse-nio-8443-exec-8 |ConfigXMLReader               |I| controller loaded: 0.007s, 52 requests, 21 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-27 17:12:59,943 |jsse-nio-8443-exec-8 |ConfigXMLReader               |I| controller loaded: 0.016s, 23 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-27 17:12:59,944 |jsse-nio-8443-exec-8 |NoModule                      |O| null
2023-12-27 17:12:59,944 |jsse-nio-8443-exec-8 |NoModule                      |O| 10
2023-12-27 17:12:59,944 |jsse-nio-8443-exec-8 |NoModule                      |O| topicmaster...[GenericEntity:TopicMaster][createdStamp,null()][createdTxStamp,null()][lastUpdatedStamp,2023-12-27 10:37:21.951(java.sql.Timestamp)][lastUpdatedTxStamp,2023-12-27 10:37:21.894(java.sql.Timestamp)][topicId,10(java.lang.String)][topicName,Fifthtopic(java.lang.String)]
2023-12-27 17:12:59,945 |jsse-nio-8443-exec-8 |NoModule                      |O| list of questions....[]
2023-12-27 17:12:59,945 |jsse-nio-8443-exec-8 |RequestHandler                |I| Ran Event [java:com.vastpro.onlineexam.events.QuestionTopicEvent#viewQuestions] from [request], result is [error]
2023-12-27 17:12:59,945 |jsse-nio-8443-exec-8 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-27 17:12:59,945 |jsse-nio-8443-exec-8 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-27 17:12:59,946 |jsse-nio-8443-exec-8 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-27 17:12:59,948 |jsse-nio-8443-exec-8 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-27 17:12:59,969 |jsse-nio-8443-exec-8 |ControlServlet                |T| [[[onlineexam::viewQuestions (Domain:https://localhost)] Request Done- total:0.051,since last([onlineexam::view...):0.051]]
2023-12-27 17:13:19,796 |jsse-nio-8443-exec-1 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-27 17:13:19,806 |jsse-nio-8443-exec-6 |ControlServlet                |T| [[[onlineexam::viewQuestions (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-27 17:13:19,810 |Catalina-utility-2   |ControlEventListener          |I| Could not find visit value object in session [ hidden sessionId by default.] that is being destroyed
2023-12-27 17:13:19,810 |Catalina-utility-2   |ControlEventListener          |I| Destroying session:  hidden sessionId by default.
2023-12-27 17:13:19,811 |Catalina-utility-2   |ControlEventListener          |I| Could not find visit value object in session [ hidden sessionId by default.] that is being destroyed
2023-12-27 17:13:19,811 |Catalina-utility-2   |ControlEventListener          |I| Destroying session:  hidden sessionId by default.
2023-12-27 17:13:19,811 |Catalina-utility-2   |ControlEventListener          |I| Could not find visit value object in session [ hidden sessionId by default.] that is being destroyed
2023-12-27 17:13:19,811 |Catalina-utility-2   |ControlEventListener          |I| Destroying session:  hidden sessionId by default.
2023-12-27 17:13:19,840 |jsse-nio-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-27 17:13:19,841 |jsse-nio-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.011s, 52 requests, 21 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-27 17:13:19,841 |jsse-nio-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.024s, 23 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-27 17:13:19,843 |jsse-nio-8443-exec-6 |NoModule                      |O| null
2023-12-27 17:13:19,843 |jsse-nio-8443-exec-6 |NoModule                      |O| 10
2023-12-27 17:13:19,844 |jsse-nio-8443-exec-6 |NoModule                      |O| topicmaster...[GenericEntity:TopicMaster][createdStamp,null()][createdTxStamp,null()][lastUpdatedStamp,2023-12-27 10:37:21.951(java.sql.Timestamp)][lastUpdatedTxStamp,2023-12-27 10:37:21.894(java.sql.Timestamp)][topicId,10(java.lang.String)][topicName,Fifthtopic(java.lang.String)]
2023-12-27 17:13:19,844 |jsse-nio-8443-exec-6 |NoModule                      |O| list of questions....[]
2023-12-27 17:13:19,844 |jsse-nio-8443-exec-6 |RequestHandler                |I| Ran Event [java:com.vastpro.onlineexam.events.QuestionTopicEvent#viewQuestions] from [request], result is [error]
2023-12-27 17:13:19,844 |jsse-nio-8443-exec-6 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-27 17:13:19,845 |jsse-nio-8443-exec-6 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-27 17:13:19,845 |jsse-nio-8443-exec-6 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-27 17:13:19,847 |jsse-nio-8443-exec-6 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-27 17:13:19,864 |jsse-nio-8443-exec-6 |ControlServlet                |T| [[[onlineexam::viewQuestions (Domain:https://localhost)] Request Done- total:0.057,since last([onlineexam::view...):0.057]]
