2023-12-06 11:08:00,971 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [2] milliseconds
2023-12-06 11:08:00,974 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [15792] -- Next runtime: Thu Dec 07 00:00:00 IST 2023
2023-12-06 11:08:00,993 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-06 11:08:00,993 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [18] milliseconds
2023-12-06 11:08:00,997 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [15791] -- Next runtime: Thu Dec 07 00:00:00 IST 2023
2023-12-06 11:08:00,998 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [1] milliseconds
2023-12-06 11:08:01,001 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [15790] -- Next runtime: Thu Dec 07 00:00:00 IST 2023
2023-12-06 11:08:01,025 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [1147] milliseconds
2023-12-06 11:08:01,029 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [15789] -- Next runtime: Thu Dec 07 00:00:00 IST 2023
2023-12-06 11:08:01,037 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [8] milliseconds
2023-12-06 11:08:01,041 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [15788] -- Next runtime: Thu Dec 07 00:00:00 IST 2023
2023-12-06 11:08:01,042 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [1] milliseconds
2023-12-06 11:08:01,046 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Clear EntitySyncRemove Info] Id [15787] -- Next runtime: Thu Dec 07 00:00:00 IST 2023
2023-12-06 11:08:01,047 |OFBiz-JobQueue-0     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2023-12-06 11:08:01,048 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [46] milliseconds
