2023-12-27 13:23:22,411 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: enabled HTTP/2
2023-12-27 13:23:22,411 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set scheme=https
2023-12-27 13:23:22,411 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set secure=true
2023-12-27 13:23:22,413 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set SSLEnabled=true
2023-12-27 13:23:22,414 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set URIEncoding=UTF-8
2023-12-27 13:23:22,415 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set xpoweredBy=false
2023-12-27 13:23:22,415 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compression=on
2023-12-27 13:23:22,416 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-12-27 13:23:22,416 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set sslImplementationName=org.apache.tomcat.util.net.jsse.JSSEImplementation
2023-12-27 13:23:22,428 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_: set keyManagerAlgorithm=SunX509
2023-12-27 13:23:22,434 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeystoreFile=framework/base/config/ofbizssl.jks
2023-12-27 13:23:22,434 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeystoreType=JKS
2023-12-27 13:23:22,434 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeyAlias=ofbiz
2023-12-27 13:23:22,435 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeyPassword
2023-12-27 13:23:22,479 |main                 |CatalinaContainer             |I| Creating context [webpos]
2023-12-27 13:23:22,482 |main                 |CatalinaContainer             |I| Creating context [solr]
2023-12-27 13:23:22,482 |main                 |CatalinaContainer             |I| Creating context [scrumdemo]
2023-12-27 13:23:22,483 |main                 |CatalinaContainer             |I| Creating context [scrum]
2023-12-27 13:23:22,483 |main                 |CatalinaContainer             |I| Creating context [api-docs]
2023-12-27 13:23:22,483 |main                 |CatalinaContainer             |I| Creating context [rest-api]
2023-12-27 13:23:22,483 |main                 |CatalinaContainer             |I| Creating context [projectmgr]
2023-12-27 13:23:22,484 |main                 |CatalinaContainer             |I| Creating context [pricatdemo]
2023-12-27 13:23:22,484 |main                 |CatalinaContainer             |I| Creating context [pricat]
2023-12-27 13:23:22,484 |main                 |CatalinaContainer             |I| Creating context [prashuDemo]
2023-12-27 13:23:22,484 |main                 |CatalinaContainer             |I| Creating context [passport]
2023-12-27 13:23:22,484 |main                 |CatalinaContainer             |I| Creating context [onlineexam]
2023-12-27 13:23:22,485 |main                 |CatalinaContainer             |I| Creating context [ofbizDemo]
2023-12-27 13:23:22,485 |main                 |CatalinaContainer             |I| Creating context [myportal]
2023-12-27 13:23:22,485 |main                 |CatalinaContainer             |I| Creating context [multiflex]
2023-12-27 13:23:22,485 |main                 |CatalinaContainer             |I| Creating context [msggateway]
2023-12-27 13:23:22,485 |main                 |CatalinaContainer             |I| Creating context [content]
2023-12-27 13:23:22,486 |main                 |CatalinaContainer             |I| Creating context [firstdata]
2023-12-27 13:23:22,486 |main                 |CatalinaContainer             |I| Creating context [exampleext]
2023-12-27 13:23:22,486 |main                 |CatalinaContainer             |I| Creating context [example]
2023-12-27 13:23:22,486 |main                 |CatalinaContainer             |I| Creating context [ecomseo]
2023-12-27 13:23:22,486 |main                 |CatalinaContainer             |I| Creating context [ecommerce]
2023-12-27 13:23:22,487 |main                 |CatalinaContainer             |I| Creating context [ebay]
2023-12-27 13:23:22,487 |main                 |CatalinaContainer             |I| Creating context [cmssite]
2023-12-27 13:23:22,487 |main                 |CatalinaContainer             |I| Creating context [bi]
2023-12-27 13:23:22,487 |main                 |CatalinaContainer             |I| Creating context [ismgr]
2023-12-27 13:23:22,488 |main                 |CatalinaContainer             |I| Creating context [assetmaint]
2023-12-27 13:23:22,488 |main                 |CatalinaContainer             |I| Creating context [ordermgr-js]
2023-12-27 13:23:22,488 |main                 |CatalinaContainer             |I| Creating context [ofbizsetup]
2023-12-27 13:23:22,488 |main                 |CatalinaContainer             |I| Creating context [SalesForceAutomation]
2023-12-27 13:23:22,488 |main                 |CatalinaContainer             |I| Creating context [marketing]
2023-12-27 13:23:22,489 |main                 |CatalinaContainer             |I| Creating context [order]
2023-12-27 13:23:22,489 |main                 |CatalinaContainer             |I| Creating context [humanres]
2023-12-27 13:23:22,489 |main                 |CatalinaContainer             |I| Creating context [ap]
2023-12-27 13:23:22,489 |main                 |CatalinaContainer             |I| Creating context [ar]
2023-12-27 13:23:22,489 |main                 |CatalinaContainer             |I| Creating context [accounting]
