2023-12-15 11:20:39,963 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-15 11:20:39,963 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [1] milliseconds
2023-12-15 11:20:39,967 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [19815] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:39,982 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [15] milliseconds
2023-12-15 11:20:39,984 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [19814] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:39,986 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [2] milliseconds
2023-12-15 11:20:39,990 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [19813] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:39,999 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [9] milliseconds
2023-12-15 11:20:40,003 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [19812] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,014 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [10] milliseconds
2023-12-15 11:20:40,017 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Clear EntitySyncRemove Info] Id [19811] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,019 |OFBiz-JobQueue-0     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2023-12-15 11:20:40,029 |OFBiz-JobQueue-0     |EntitySyncServices            |I| In cleanSyncRemoveInfo removed [0] values with TX timestamp before [2023-12-14 11:20:40.026]
2023-12-15 11:20:40,030 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [12] milliseconds
2023-12-15 11:20:40,034 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [19809] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,051 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [17] milliseconds
2023-12-15 11:20:40,054 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [19808] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,057 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [3] milliseconds
2023-12-15 11:20:40,060 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [19807] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,062 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [1] milliseconds
2023-12-15 11:20:40,066 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Clear EntitySyncRemove Info] Id [19806] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,066 |OFBiz-JobQueue-0     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2023-12-15 11:20:40,068 |OFBiz-JobQueue-0     |EntitySyncServices            |I| In cleanSyncRemoveInfo removed [0] values with TX timestamp before [2023-12-14 11:20:40.067]
2023-12-15 11:20:40,068 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [2] milliseconds
2023-12-15 11:20:40,072 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [19796] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,073 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-15 11:20:40,074 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [1] milliseconds
2023-12-15 11:20:40,077 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [19795] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,095 |OFBiz-JobQueue-0     |InventoryServices             |I| OOS Inventory Items: 0
2023-12-15 11:20:40,095 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [18] milliseconds
2023-12-15 11:20:40,099 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [19794] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,100 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [1] milliseconds
2023-12-15 11:20:40,103 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [19793] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,105 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [1] milliseconds
2023-12-15 11:20:40,108 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [19790] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,110 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [1] milliseconds
2023-12-15 11:20:40,113 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [19789] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,114 |OFBiz-JobQueue-0     |InventoryServices             |I| OOS Inventory Items: 0
2023-12-15 11:20:40,114 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [1] milliseconds
2023-12-15 11:20:40,118 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [19804] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,119 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [1] milliseconds
2023-12-15 11:20:40,123 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [19788] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,125 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [2] milliseconds
2023-12-15 11:20:40,128 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [19810] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,129 |OFBiz-JobQueue-0     |InventoryServices             |I| OOS Inventory Items: 0
2023-12-15 11:20:40,129 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [1] milliseconds
2023-12-15 11:20:40,132 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [19802] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,135 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [2] milliseconds
2023-12-15 11:20:40,138 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [19801] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,140 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [2] milliseconds
2023-12-15 11:20:40,144 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [19792] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,145 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [1] milliseconds
2023-12-15 11:20:40,148 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [19791] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,150 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [1] milliseconds
2023-12-15 11:20:40,153 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [19787] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,154 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [1] milliseconds
2023-12-15 11:20:40,158 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [19816] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,159 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-15 11:20:40,159 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [1] milliseconds
2023-12-15 11:20:40,163 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [19803] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,164 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [1] milliseconds
2023-12-15 11:20:40,167 |OFBiz-JobQueue-0     |TransactionUtil               |W| No transaction in place, so not suspending.
2023-12-15 11:20:40,174 |OFBiz-JobQueue-0     |SequenceUtil                  |I| Got bank of sequenced IDs for [JobSandbox]; curSeqId=20000, maxSeqId=20100, bankSize=100
2023-12-15 11:20:40,175 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [19800] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,177 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [2] milliseconds
2023-12-15 11:20:40,180 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Clear EntitySyncRemove Info] Id [19798] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,180 |OFBiz-JobQueue-0     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2023-12-15 11:20:40,182 |OFBiz-JobQueue-0     |EntitySyncServices            |I| In cleanSyncRemoveInfo removed [0] values with TX timestamp before [2023-12-14 11:20:40.181]
2023-12-15 11:20:40,182 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [2] milliseconds
2023-12-15 11:20:40,186 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [19799] -- Next runtime: Sat Dec 16 00:00:00 IST 2023
2023-12-15 11:20:40,188 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-15 11:20:40,188 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [2] milliseconds
2023-12-15 11:20:40,370 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [1156] milliseconds
2023-12-15 11:21:08,399 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18645
2023-12-15 11:21:08,399 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18632
2023-12-15 11:21:08,401 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18244
2023-12-15 11:21:08,401 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18239
2023-12-15 11:21:08,403 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18237
2023-12-15 11:21:08,403 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18648
2023-12-15 11:21:08,404 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18229
2023-12-15 11:21:08,404 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18231
2023-12-15 11:21:08,406 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18647
2023-12-15 11:21:08,406 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18612
2023-12-15 11:21:08,407 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18615
2023-12-15 11:21:08,407 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18613
2023-12-15 11:21:08,409 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18646
2023-12-15 11:21:08,409 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18606
2023-12-15 11:21:08,411 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18631
2023-12-15 11:21:08,411 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18629
2023-12-15 11:21:08,412 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18633
2023-12-15 11:21:08,413 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18634
2023-12-15 11:21:08,413 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18644
2023-12-15 11:21:08,414 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18622
2023-12-15 11:21:08,414 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18614
2023-12-15 11:21:08,415 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18617
2023-12-15 11:21:08,415 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18618
2023-12-15 11:21:08,416 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18619
2023-12-15 11:21:08,416 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18620
2023-12-15 11:21:08,417 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18621
2023-12-15 11:21:08,417 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18623
2023-12-15 11:21:08,418 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18624
2023-12-15 11:21:08,418 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18625
2023-12-15 11:21:08,419 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18626
2023-12-15 11:21:08,419 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18627
2023-12-15 11:21:08,420 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18611
2023-12-15 11:21:08,420 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18628
2023-12-15 11:21:08,421 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18607
2023-12-15 11:21:08,421 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18608
2023-12-15 11:21:08,421 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18609
2023-12-15 11:21:08,422 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18603
2023-12-15 11:21:08,422 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18641
2023-12-15 11:21:08,423 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18643
2023-12-15 11:21:08,423 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18642
2023-12-15 11:21:08,424 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18605
2023-12-15 11:21:08,424 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18604
2023-12-15 11:21:08,424 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18509
2023-12-15 11:21:08,425 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18635
2023-12-15 11:21:08,425 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18636
2023-12-15 11:21:08,426 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18637
2023-12-15 11:21:08,426 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18638
2023-12-15 11:21:08,427 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18640
2023-12-15 11:21:08,427 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18639
2023-12-15 11:21:08,427 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18262
2023-12-15 11:21:08,427 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18232
2023-12-15 11:21:08,428 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18247
2023-12-15 11:21:08,428 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18602
2023-12-15 11:21:08,429 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18230
2023-12-15 11:21:08,430 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15911
2023-12-15 11:21:08,430 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15874
2023-12-15 11:21:08,430 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18264
2023-12-15 11:21:08,430 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18263
2023-12-15 11:21:08,431 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18254
2023-12-15 11:21:08,431 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18253
2023-12-15 11:21:08,432 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18251
2023-12-15 11:21:08,432 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18252
2023-12-15 11:21:08,432 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18233
2023-12-15 11:21:08,432 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18601
