2023-12-18 17:56:27,672 |OFBiz-batch-2        |DatabaseUtil                  |I| - full outer joins          [true]
2023-12-18 17:56:27,673 |OFBiz-batch-2        |DatabaseUtil                  |I| - group by                  [true]*
2023-12-18 17:56:27,673 |OFBiz-batch-2        |DatabaseUtil                  |I| - group by not in select    [true]
2023-12-18 17:56:27,673 |OFBiz-batch-2        |DatabaseUtil                  |I| - column aliasing           [true]
2023-12-18 17:56:27,673 |OFBiz-batch-2        |DatabaseUtil                  |I| - order by not in select    [true]
2023-12-18 17:56:27,673 |OFBiz-batch-2        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-12-18 17:56:27,671 |OFBiz-batch-1        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-12-18 17:56:27,673 |OFBiz-batch-2        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-12-18 17:56:27,674 |OFBiz-batch-2        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-12-18 17:56:27,674 |OFBiz-batch-2        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-12-18 17:56:27,674 |OFBiz-batch-2        |DatabaseUtil                  |I| Getting Table Info From Database
2023-12-18 17:56:27,675 |OFBiz-batch-3        |DatabaseUtil                  |I| - forward only type         [true]
2023-12-18 17:56:27,676 |OFBiz-batch-1        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-12-18 17:56:27,676 |OFBiz-batch-3        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-12-18 17:56:27,679 |OFBiz-batch-3        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-12-18 17:56:27,680 |OFBiz-batch-3        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-12-18 17:56:27,680 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-12-18 17:56:27,680 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores MixedCase          [false]
2023-12-18 17:56:27,680 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-12-18 17:56:27,682 |OFBiz-batch-1        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-12-18 17:56:27,682 |OFBiz-batch-1        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-12-18 17:56:27,688 |OFBiz-batch-3        |DatabaseUtil                  |I| - max table name length     [63]
2023-12-18 17:56:27,688 |OFBiz-batch-3        |DatabaseUtil                  |I| - max column name length    [63]
2023-12-18 17:56:27,688 |OFBiz-batch-3        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-12-18 17:56:27,688 |OFBiz-batch-3        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-12-18 17:56:27,689 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-12-18 17:56:27,689 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2023-12-18 17:56:27,689 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2023-12-18 17:56:27,690 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2023-12-18 17:56:27,690 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2023-12-18 17:56:27,690 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-12-18 17:56:27,690 |OFBiz-batch-3        |DatabaseUtil                  |I| - outer joins               [true]*
2023-12-18 17:56:27,690 |OFBiz-batch-3        |DatabaseUtil                  |I| - limited outer joins       [true]
2023-12-18 17:56:27,690 |OFBiz-batch-3        |DatabaseUtil                  |I| - full outer joins          [true]
2023-12-18 17:56:27,691 |OFBiz-batch-3        |DatabaseUtil                  |I| - group by                  [true]*
2023-12-18 17:56:27,691 |OFBiz-batch-3        |DatabaseUtil                  |I| - group by not in select    [true]
2023-12-18 17:56:27,691 |OFBiz-batch-3        |DatabaseUtil                  |I| - column aliasing           [true]
2023-12-18 17:56:27,691 |OFBiz-batch-3        |DatabaseUtil                  |I| - order by not in select    [true]
2023-12-18 17:56:27,691 |OFBiz-batch-3        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-12-18 17:56:27,691 |OFBiz-batch-3        |DatabaseUtil                  |I| - non-nullable column       [true]*
