2023-11-28 16:58:44,702 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\framework]
2023-11-28 16:58:45,027 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\themes]
2023-11-28 16:58:45,104 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\applications]
2023-11-28 16:58:45,253 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\plugins]
2023-11-28 16:58:45,595 |main                 |ComponentContainer            |I| All components loaded
2023-11-28 16:58:45,595 |main                 |ContainerLoader               |I| [Startup] Loading containers...
2023-11-28 16:58:45,597 |main                 |ContainerLoader               |I| Loading container: admin-container
2023-11-28 16:58:45,610 |main                 |ContainerLoader               |I| Loaded container: admin-container
2023-11-28 16:58:45,610 |main                 |ContainerLoader               |I| Loading container: delegator-container
2023-11-28 16:58:45,612 |main                 |ContainerLoader               |I| Loaded container: delegator-container
2023-11-28 16:58:45,612 |main                 |ContainerLoader               |I| Loading container: service-container
2023-11-28 16:58:45,619 |main                 |ContainerLoader               |I| Loaded container: service-container
2023-11-28 16:58:45,619 |main                 |ContainerLoader               |I| Loading container: catalina-container
2023-11-28 16:58:46,005 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set scheme=http
2023-11-28 16:58:46,010 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secure=false
2023-11-28 16:58:46,018 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set URIEncoding=UTF-8
2023-11-28 16:58:46,019 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set xpoweredBy=false
2023-11-28 16:58:46,019 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secretRequired=false
2023-11-28 16:58:46,037 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: enabled HTTP/2
2023-11-28 16:58:46,038 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set scheme=http
2023-11-28 16:58:46,038 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set secure=false
2023-11-28 16:58:46,039 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set URIEncoding=UTF-8
2023-11-28 16:58:46,040 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set xpoweredBy=false
2023-11-28 16:58:46,040 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compression=on
2023-11-28 16:58:46,041 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-11-28 16:58:46,041 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: enabled HTTP/2
2023-11-28 16:58:46,042 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set scheme=https
2023-11-28 16:58:46,043 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set secure=true
2023-11-28 16:58:46,044 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set SSLEnabled=true
2023-11-28 16:58:46,045 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set URIEncoding=UTF-8
2023-11-28 16:58:46,046 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set xpoweredBy=false
2023-11-28 16:58:46,046 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compression=on
2023-11-28 16:58:46,046 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-11-28 16:58:46,047 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set sslImplementationName=org.apache.tomcat.util.net.jsse.JSSEImplementation
2023-11-28 16:58:46,064 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_: set keyManagerAlgorithm=SunX509
2023-11-28 16:58:46,073 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeystoreFile=framework/base/config/ofbizssl.jks
2023-11-28 16:58:46,074 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeystoreType=JKS
2023-11-28 16:58:46,075 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeyAlias=ofbiz
2023-11-28 16:58:46,076 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeyPassword
2023-11-28 16:58:46,095 |main                 |CatalinaContainer             |I| Creating context [webpos]
2023-11-28 16:58:46,098 |main                 |CatalinaContainer             |I| Creating context [solr]
2023-11-28 16:58:46,098 |main                 |CatalinaContainer             |I| Creating context [scrumdemo]
2023-11-28 16:58:46,099 |main                 |CatalinaContainer             |I| Creating context [scrum]
2023-11-28 16:58:46,100 |main                 |CatalinaContainer             |I| Creating context [api-docs]
2023-11-28 16:58:46,101 |main                 |CatalinaContainer             |I| Creating context [rest-api]
2023-11-28 16:58:46,101 |main                 |CatalinaContainer             |I| Creating context [projectmgr]
2023-11-28 16:58:46,101 |main                 |CatalinaContainer             |I| Creating context [pricatdemo]
2023-11-28 16:58:46,102 |main                 |CatalinaContainer             |I| Creating context [pricat]
2023-11-28 16:58:46,102 |main                 |CatalinaContainer             |I| Creating context [prashuDemo]
2023-11-28 16:58:46,103 |main                 |CatalinaContainer             |I| Creating context [passport]
2023-11-28 16:58:46,103 |main                 |CatalinaContainer             |I| Creating context [onlineexam]
2023-11-28 16:58:46,103 |main                 |CatalinaContainer             |I| Creating context [ofbizDemo]
2023-11-28 16:58:46,104 |main                 |CatalinaContainer             |I| Creating context [myportal]
2023-11-28 16:58:46,104 |main                 |CatalinaContainer             |I| Creating context [multiflex]
2023-11-28 16:58:46,104 |main                 |CatalinaContainer             |I| Creating context [msggateway]
2023-11-28 16:58:46,105 |main                 |CatalinaContainer             |I| Creating context [content]
2023-11-28 16:58:46,105 |main                 |CatalinaContainer             |I| Creating context [firstdata]
2023-11-28 16:58:46,105 |main                 |CatalinaContainer             |I| Creating context [exampleext]
2023-11-28 16:58:46,106 |main                 |CatalinaContainer             |I| Creating context [example]
2023-11-28 16:58:46,106 |main                 |CatalinaContainer             |I| Creating context [ecomseo]
2023-11-28 16:58:46,106 |main                 |CatalinaContainer             |I| Creating context [ecommerce]
2023-11-28 16:58:46,106 |main                 |CatalinaContainer             |I| Creating context [ebay]
2023-11-28 16:58:46,107 |main                 |CatalinaContainer             |I| Creating context [cmssite]
2023-11-28 16:58:46,107 |main                 |CatalinaContainer             |I| Creating context [bi]
2023-11-28 16:58:46,107 |main                 |CatalinaContainer             |I| Creating context [ismgr]
2023-11-28 16:58:46,107 |main                 |CatalinaContainer             |I| Creating context [assetmaint]
2023-11-28 16:58:46,108 |main                 |CatalinaContainer             |I| Creating context [ordermgr-js]
2023-11-28 16:58:46,108 |main                 |CatalinaContainer             |I| Creating context [ofbizsetup]
2023-11-28 16:58:46,108 |main                 |CatalinaContainer             |I| Creating context [SalesForceAutomation]
2023-11-28 16:58:46,108 |main                 |CatalinaContainer             |I| Creating context [marketing]
2023-11-28 16:58:46,109 |main                 |CatalinaContainer             |I| Creating context [order]
2023-11-28 16:58:46,109 |main                 |CatalinaContainer             |I| Creating context [humanres]
2023-11-28 16:58:46,109 |main                 |CatalinaContainer             |I| Creating context [ap]
2023-11-28 16:58:46,109 |main                 |CatalinaContainer             |I| Creating context [ar]
2023-11-28 16:58:46,109 |main                 |CatalinaContainer             |I| Creating context [accounting]
2023-11-28 16:58:46,110 |main                 |CatalinaContainer             |I| Creating context [manufacturing]
2023-11-28 16:58:46,110 |main                 |CatalinaContainer             |I| Creating context [facility]
2023-11-28 16:58:46,110 |main                 |CatalinaContainer             |I| Creating context [catalog]
2023-11-28 16:58:46,111 |main                 |CatalinaContainer             |I| Creating context [ical]
2023-11-28 16:58:46,111 |main                 |CatalinaContainer             |I| Creating context [workeffort]
2023-11-28 16:58:46,111 |main                 |CatalinaContainer             |I| Creating context [contentimages]
2023-11-28 16:58:46,112 |main                 |CatalinaContainer             |I| Duplicate webapp mount (overridding); not loading : content / D:\ofbiz\ofbiz-framework\applications\content\webapp\content
2023-11-28 16:58:46,112 |main                 |CatalinaContainer             |I| Creating context [party]
2023-11-28 16:58:46,112 |main                 |CatalinaContainer             |I| Creating context [tomahawk]
2023-11-28 16:58:46,113 |main                 |CatalinaContainer             |I| Creating context [rainbowstone]
2023-11-28 16:58:46,113 |main                 |CatalinaContainer             |I| Creating context [helveticus]
2023-11-28 16:58:46,114 |main                 |CatalinaContainer             |I| Creating context [flatgrey]
2023-11-28 16:58:46,114 |main                 |CatalinaContainer             |I| Creating context [images]
2023-11-28 16:58:46,114 |main                 |CatalinaContainer             |I| Creating context [common-theme]
2023-11-28 16:58:46,115 |main                 |CatalinaContainer             |I| Creating context [bluelight]
2023-11-28 16:58:46,115 |main                 |CatalinaContainer             |I| Creating context [webtools]
2023-11-28 16:58:46,627 |catalina-startup-7   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/projectmgr])
2023-11-28 16:58:46,627 |catalina-startup-8   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/pricatdemo])
2023-11-28 16:58:46,627 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/solr])
2023-11-28 16:58:46,627 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/webpos])
2023-11-28 16:58:46,627 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/scrumdemo])
2023-11-28 16:58:46,627 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/scrum])
2023-11-28 16:58:46,627 |catalina-startup-5   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/docs])
2023-11-28 16:58:46,627 |catalina-startup-6   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/rest])
2023-11-28 16:58:46,711 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/myportal])
2023-11-28 16:58:46,722 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/prashuDemo])
2023-11-28 16:58:46,730 |catalina-startup-7   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/multiflex])
2023-11-28 16:58:46,745 |catalina-startup-6   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ofbizDemo])
2023-11-28 16:58:46,784 |catalina-startup-5   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/onlineexam])
2023-11-28 16:58:46,821 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/content])
2023-11-28 16:58:46,826 |catalina-startup-7   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/exampleext])
2023-11-28 16:58:46,838 |catalina-startup-8   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/pricat])
2023-11-28 16:58:46,843 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/passport])
