2023-12-28 12:03:27,386 |jsse-nio-8443-exec-2 |NoModule                      |O| TopicName......Grammer
2023-12-28 12:03:27,386 |jsse-nio-8443-exec-2 |NoModule                      |O| 16
2023-12-28 12:03:27,386 |jsse-nio-8443-exec-2 |NoModule                      |O| TopicName......Punctuation
2023-12-28 12:03:27,386 |jsse-nio-8443-exec-2 |NoModule                      |O| ExamTopicMapping{ExamTopicMapping=[{topicId=20, questionsPerExam=50, examName=English, percentage=50.00, examId=2, topicPassPercentage=20.00, topicName=Grammer}, {topicId=16, questionsPerExam=50, examName=English, percentage=50.00, examId=2, topicPassPercentage=25.00, topicName=Punctuation}], genericvalue=[GenericEntity:ExamMaster][answersMust,null()][createdStamp,2023-11-24 12:28:53.704(java.sql.Timestamp)][createdTxStamp,2023-11-24 12:28:53.685(java.sql.Timestamp)][creationDate,null()][description,english language(java.lang.String)][durationMinutes,20(java.lang.Long)][enableNegativeMark,null()][examId,2(java.lang.String)][examName,English(java.lang.String)][expirationDate,null()][lastUpdatedStamp,2023-11-24 12:28:53.704(java.sql.Timestamp)][lastUpdatedTxStamp,2023-11-24 12:28:53.685(java.sql.Timestamp)][negativeMarkValue,null()][noOfQuestions,10(java.lang.Long)][passPercentage,35.00(java.math.BigDecimal)][questionsRandomized,null()]}
2023-12-28 12:05:26,643 |jsse-nio-8443-exec-4 |NoModule                      |O| examName is..English
2023-12-28 12:05:26,645 |jsse-nio-8443-exec-4 |NoModule                      |O| 20
2023-12-28 12:05:26,645 |jsse-nio-8443-exec-4 |NoModule                      |O| TopicName......Grammer
2023-12-28 12:05:26,646 |jsse-nio-8443-exec-4 |NoModule                      |O| 16
2023-12-28 12:05:26,646 |jsse-nio-8443-exec-4 |NoModule                      |O| TopicName......Punctuation
2023-12-28 12:05:26,647 |jsse-nio-8443-exec-4 |NoModule                      |O| 22
2023-12-28 12:05:26,647 |jsse-nio-8443-exec-4 |NoModule                      |O| TopicName......Pronounciations
2023-12-28 12:05:26,647 |jsse-nio-8443-exec-4 |NoModule                      |O| ExamTopicMapping{ExamTopicMapping=[{topicId=20, questionsPerExam=50, examName=English, percentage=50.00, examId=2, topicPassPercentage=20.00, topicName=Grammer}, {topicId=16, questionsPerExam=50, examName=English, percentage=50.00, examId=2, topicPassPercentage=25.00, topicName=Punctuation}, {topicId=22, questionsPerExam=50, examName=English, percentage=50.00, examId=2, topicPassPercentage=25.00, topicName=Pronounciations}], genericvalue=[GenericEntity:ExamMaster][answersMust,null()][createdStamp,2023-11-24 12:28:53.704(java.sql.Timestamp)][createdTxStamp,2023-11-24 12:28:53.685(java.sql.Timestamp)][creationDate,null()][description,english language(java.lang.String)][durationMinutes,20(java.lang.Long)][enableNegativeMark,null()][examId,2(java.lang.String)][examName,English(java.lang.String)][expirationDate,null()][lastUpdatedStamp,2023-11-24 12:28:53.704(java.sql.Timestamp)][lastUpdatedTxStamp,2023-11-24 12:28:53.685(java.sql.Timestamp)][negativeMarkValue,null()][noOfQuestions,10(java.lang.Long)][passPercentage,35.00(java.math.BigDecimal)][questionsRandomized,null()]}
2023-12-28 12:05:31,160 |jsse-nio-8443-exec-2 |22                            |O| topicId....! :
2023-12-28 12:05:31,160 |jsse-nio-8443-exec-2 |2                             |O| examId....! :
2023-12-28 12:05:31,485 |jsse-nio-8443-exec-3 |NoModule                      |O| examName is..English
2023-12-28 12:05:31,491 |jsse-nio-8443-exec-3 |NoModule                      |O| 20
2023-12-28 12:05:31,491 |jsse-nio-8443-exec-3 |NoModule                      |O| TopicName......Grammer
2023-12-28 12:05:31,491 |jsse-nio-8443-exec-3 |NoModule                      |O| 16
2023-12-28 12:05:31,491 |jsse-nio-8443-exec-3 |NoModule                      |O| TopicName......Punctuation
2023-12-28 12:05:31,492 |jsse-nio-8443-exec-3 |NoModule                      |O| ExamTopicMapping{ExamTopicMapping=[{topicId=20, questionsPerExam=50, examName=English, percentage=50.00, examId=2, topicPassPercentage=20.00, topicName=Grammer}, {topicId=16, questionsPerExam=50, examName=English, percentage=50.00, examId=2, topicPassPercentage=25.00, topicName=Punctuation}], genericvalue=[GenericEntity:ExamMaster][answersMust,null()][createdStamp,2023-11-24 12:28:53.704(java.sql.Timestamp)][createdTxStamp,2023-11-24 12:28:53.685(java.sql.Timestamp)][creationDate,null()][description,english language(java.lang.String)][durationMinutes,20(java.lang.Long)][enableNegativeMark,null()][examId,2(java.lang.String)][examName,English(java.lang.String)][expirationDate,null()][lastUpdatedStamp,2023-11-24 12:28:53.704(java.sql.Timestamp)][lastUpdatedTxStamp,2023-11-24 12:28:53.685(java.sql.Timestamp)][negativeMarkValue,null()][noOfQuestions,10(java.lang.Long)][passPercentage,35.00(java.math.BigDecimal)][questionsRandomized,null()]}
2023-12-28 12:05:59,181 |jsse-nio-8443-exec-2 |NoModule                      |O| null
2023-12-28 12:05:59,181 |jsse-nio-8443-exec-2 |NoModule                      |O| 20
