2023-11-21 17:58:13,121 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\framework]
2023-11-21 17:58:13,328 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\themes]
2023-11-21 17:58:13,394 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\applications]
2023-11-21 17:58:13,533 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\plugins]
2023-11-21 17:58:13,768 |main                 |ComponentContainer            |I| All components loaded
2023-11-21 17:58:13,768 |main                 |ContainerLoader               |I| [Startup] Loading containers...
2023-11-21 17:58:13,769 |main                 |ContainerLoader               |I| Loading container: admin-container
2023-11-21 17:58:13,780 |main                 |ContainerLoader               |I| Loaded container: admin-container
2023-11-21 17:58:13,780 |main                 |ContainerLoader               |I| Loading container: delegator-container
2023-11-21 17:58:13,782 |main                 |ContainerLoader               |I| Loaded container: delegator-container
2023-11-21 17:58:13,782 |main                 |ContainerLoader               |I| Loading container: service-container
2023-11-21 17:58:13,786 |main                 |ContainerLoader               |I| Loaded container: service-container
2023-11-21 17:58:13,786 |main                 |ContainerLoader               |I| Loading container: catalina-container
2023-11-21 17:58:14,067 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set scheme=http
2023-11-21 17:58:14,071 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secure=false
2023-11-21 17:58:14,077 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set URIEncoding=UTF-8
2023-11-21 17:58:14,077 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set xpoweredBy=false
2023-11-21 17:58:14,078 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secretRequired=false
2023-11-21 17:58:14,094 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: enabled HTTP/2
2023-11-21 17:58:14,095 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set scheme=http
2023-11-21 17:58:14,095 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set secure=false
2023-11-21 17:58:14,096 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set URIEncoding=UTF-8
2023-11-21 17:58:14,096 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set xpoweredBy=false
2023-11-21 17:58:14,097 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compression=on
2023-11-21 17:58:14,097 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-11-21 17:58:14,097 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: enabled HTTP/2
2023-11-21 17:58:14,098 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set scheme=https
2023-11-21 17:58:14,098 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set secure=true
2023-11-21 17:58:14,099 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set SSLEnabled=true
2023-11-21 17:58:14,100 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set URIEncoding=UTF-8
2023-11-21 17:58:14,100 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set xpoweredBy=false
2023-11-21 17:58:14,101 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compression=on
2023-11-21 17:58:14,101 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-11-21 17:58:14,101 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set sslImplementationName=org.apache.tomcat.util.net.jsse.JSSEImplementation
2023-11-21 17:58:14,110 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_: set keyManagerAlgorithm=SunX509
2023-11-21 17:58:14,116 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeystoreFile=framework/base/config/ofbizssl.jks
2023-11-21 17:58:14,116 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeystoreType=JKS
2023-11-21 17:58:14,116 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeyAlias=ofbiz
2023-11-21 17:58:14,117 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeyPassword
2023-11-21 17:58:14,127 |main                 |CatalinaContainer             |I| Creating context [webpos]
2023-11-21 17:58:14,128 |main                 |CatalinaContainer             |I| Creating context [solr]
2023-11-21 17:58:14,128 |main                 |CatalinaContainer             |I| Creating context [scrumdemo]
2023-11-21 17:58:14,128 |main                 |CatalinaContainer             |I| Creating context [scrum]
2023-11-21 17:58:14,129 |main                 |CatalinaContainer             |I| Creating context [api-docs]
2023-11-21 17:58:14,129 |main                 |CatalinaContainer             |I| Creating context [rest-api]
2023-11-21 17:58:14,129 |main                 |CatalinaContainer             |I| Creating context [projectmgr]
2023-11-21 17:58:14,129 |main                 |CatalinaContainer             |I| Creating context [pricatdemo]
