2024-01-04 08:42:10,091 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2024-01-04 08:42:10,093 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [1] milliseconds
2024-01-04 08:42:10,094 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2024-01-04 08:42:10,094 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [4] milliseconds
2024-01-04 08:42:10,107 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [16] milliseconds
2024-01-04 08:42:10,113 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [35423] -- Next runtime: Thu Jan 04 09:42:10 IST 2024
2024-01-04 08:42:10,114 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2024-01-04 08:42:10,116 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [1] milliseconds
2024-01-04 08:42:10,117 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2024-01-04 08:42:10,117 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [4] milliseconds
2024-01-04 08:42:10,128 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [15] milliseconds
2024-01-04 08:42:10,137 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [33950] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:10,216 |OFBiz-JobQueue-1     |InventoryServices             |I| OOS Inventory Items: 0
2024-01-04 08:42:10,217 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [80] milliseconds
2024-01-04 08:42:10,224 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [34006] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:10,996 |OFBiz-JobQueue-1     |UtilProperties                |I| ResourceBundle OrderUiLabels (en) created in 0.236s with 1012 properties
2024-01-04 08:42:10,998 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [774] milliseconds
2024-01-04 08:42:11,024 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [34004] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,053 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [29] milliseconds
2024-01-04 08:42:11,059 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [34412] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,087 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [28] milliseconds
2024-01-04 08:42:11,094 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [34416] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,097 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [3] milliseconds
2024-01-04 08:42:11,107 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [34415] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,468 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [360] milliseconds
2024-01-04 08:42:11,474 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [34413] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,477 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [2] milliseconds
2024-01-04 08:42:11,482 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [34001] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,484 |OFBiz-JobQueue-1     |InventoryServices             |I| OOS Inventory Items: 0
2024-01-04 08:42:11,485 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [2] milliseconds
2024-01-04 08:42:11,490 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [34411] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,563 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2024-01-04 08:42:11,564 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [74] milliseconds
2024-01-04 08:42:11,570 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [34410] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,573 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2024-01-04 08:42:11,574 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [4] milliseconds
2024-01-04 08:42:11,582 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [34409] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,603 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [21] milliseconds
2024-01-04 08:42:11,610 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [34408] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,654 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [43] milliseconds
2024-01-04 08:42:11,662 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [34406] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,753 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [90] milliseconds
2024-01-04 08:42:11,760 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [34404] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,761 |OFBiz-JobQueue-1     |InventoryServices             |I| OOS Inventory Items: 0
2024-01-04 08:42:11,762 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [2] milliseconds
2024-01-04 08:42:11,770 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [34401] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,831 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [59] milliseconds
2024-01-04 08:42:11,838 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Clear EntitySyncRemove Info] Id [34400] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,911 |OFBiz-JobQueue-1     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2024-01-04 08:42:11,930 |OFBiz-JobQueue-1     |EntitySyncServices            |I| In cleanSyncRemoveInfo removed [0] values with TX timestamp before [2024-01-03 08:42:11.919]
2024-01-04 08:42:11,931 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [93] milliseconds
2024-01-04 08:42:11,938 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [34009] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,940 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2024-01-04 08:42:11,940 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [2] milliseconds
2024-01-04 08:42:11,946 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [34008] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,948 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2024-01-04 08:42:11,949 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [3] milliseconds
2024-01-04 08:42:11,956 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [34007] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,958 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [2] milliseconds
2024-01-04 08:42:11,967 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [34005] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,970 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [2] milliseconds
2024-01-04 08:42:11,979 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [34003] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,981 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [2] milliseconds
2024-01-04 08:42:11,988 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [34002] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:11,992 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [4] milliseconds
2024-01-04 08:42:11,998 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [34000] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:12,003 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [5] milliseconds
2024-01-04 08:42:12,010 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [33999] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:12,013 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [2] milliseconds
2024-01-04 08:42:12,022 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [33998] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
2024-01-04 08:42:12,024 |OFBiz-JobQueue-1     |InventoryServices             |I| OOS Inventory Items: 0
2024-01-04 08:42:12,024 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [2] milliseconds
2024-01-04 08:42:12,031 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Clear EntitySyncRemove Info] Id [33997] -- Next runtime: Fri Jan 05 00:00:00 IST 2024
