2023-12-26 20:43:57,295 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [31] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_tax.xml
2023-12-26 20:43:57,302 |kJoinPool-1-worker-3 |ModelService                  |W| DEPRECATED: the service deleteRateAmount has been deprecated and replaced by expireRateAmount, since Release 18.12
2023-12-26 20:43:57,303 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [14] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_rate.xml
2023-12-26 20:43:57,328 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [132] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_ledger.xml
2023-12-26 20:43:57,336 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [9] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_sagepay.xml
2023-12-26 20:43:57,342 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [6] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_authorizedotnet.xml
2023-12-26 20:43:57,378 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [95] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_paymentmethod.xml
2023-12-26 20:43:57,383 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [5] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_cybersource.xml
2023-12-26 20:43:57,391 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [8] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_paypal.xml
2023-12-26 20:43:57,446 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [10] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_cost.xml
2023-12-26 20:43:57,451 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [4] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_pccharge.xml
2023-12-26 20:43:57,462 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [21] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_valuelink.xml
2023-12-26 20:43:57,470 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [11] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_verisign.xml
2023-12-26 20:43:57,480 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [10] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_rita.xml
2023-12-26 20:43:57,483 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [5] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_orbital.xml
2023-12-26 20:43:57,489 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [56] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_payment.xml
2023-12-26 20:43:57,490 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [6] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_clearcommerce.xml
2023-12-26 20:43:57,504 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [13] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_perm.xml
2023-12-26 20:43:57,510 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [5] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_securepay.xml
2023-12-26 20:43:57,511 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [6] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/humanres/servicedef/services_ability.xml
2023-12-26 20:43:57,536 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [113] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/humanres/servicedef/services.xml
2023-12-26 20:43:57,545 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [6] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/humanres/servicedef/services_employment.xml
2023-12-26 20:43:57,553 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [15] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/order/servicedef/services_cart.xml
