2023-11-29 00:00:01,804 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [31] milliseconds
2023-11-29 00:00:01,807 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [3] milliseconds
2023-11-29 00:00:01,808 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [15034] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,811 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [15031] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,819 |OFBiz-JobQueue-1     |InventoryServices             |I| OOS Inventory Items: 0
2023-11-29 00:00:01,819 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [11] milliseconds
2023-11-29 00:00:01,824 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [15030] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,826 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [2] milliseconds
2023-11-29 00:00:01,830 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [15029] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,831 |OFBiz-JobQueue-1     |InventoryServices             |I| OOS Inventory Items: 0
2023-11-29 00:00:01,832 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [2] milliseconds
2023-11-29 00:00:01,833 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [22] milliseconds
2023-11-29 00:00:01,836 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [15028] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,837 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [15027] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,837 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-11-29 00:00:01,837 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [1] milliseconds
2023-11-29 00:00:01,839 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [2] milliseconds
2023-11-29 00:00:01,841 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [15026] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,843 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Clear EntitySyncRemove Info] Id [15023] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,843 |OFBiz-JobQueue-0     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2023-11-29 00:00:01,844 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [3] milliseconds
2023-11-29 00:00:01,849 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [15022] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,850 |OFBiz-JobQueue-0     |EntitySyncServices            |I| In cleanSyncRemoveInfo removed [0] values with TX timestamp before [2023-11-28 00:00:01.848]
2023-11-29 00:00:01,850 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [7] milliseconds
2023-11-29 00:00:01,851 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [2] milliseconds
2023-11-29 00:00:01,854 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [15020] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,854 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [15021] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,857 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [3] milliseconds
2023-11-29 00:00:01,861 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [15019] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,863 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [9] milliseconds
2023-11-29 00:00:01,866 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [15017] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,868 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-11-29 00:00:01,868 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [2] milliseconds
2023-11-29 00:00:01,869 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [8] milliseconds
2023-11-29 00:00:01,871 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [15016] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,872 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [15015] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,873 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [1] milliseconds
2023-11-29 00:00:01,873 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [1] milliseconds
2023-11-29 00:00:01,875 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [15013] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,877 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [15012] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,877 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [1] milliseconds
2023-11-29 00:00:01,880 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [15011] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,882 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [2] milliseconds
2023-11-29 00:00:01,885 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [15010] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,885 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [8] milliseconds
2023-11-29 00:00:01,885 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-11-29 00:00:01,886 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [1] milliseconds
2023-11-29 00:00:01,888 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [15009] -- Next runtime: Thu Nov 30 00:00:00 IST 2023
2023-11-29 00:00:01,889 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [1] milliseconds
2023-11-29 00:08:32,043 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15105] -- Next runtime: Wed Nov 29 00:23:32 IST 2023
2023-11-29 00:08:32,814 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [771] milliseconds
2023-11-29 00:09:32,064 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15110] -- Next runtime: Wed Nov 29 00:24:32 IST 2023
2023-11-29 00:09:32,071 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15109] -- Next runtime: Wed Nov 29 00:24:32 IST 2023
2023-11-29 00:09:32,866 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [802] milliseconds
2023-11-29 00:09:33,613 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1542] milliseconds
